fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2019-08-29,USD,2233000000,None,None,529000000,200000000,1416000000,2028000000,-58000000,174000000,586000000,-1100000000,892000000,None,2000000,2000000,None,None,None,None,None,1750000000,None,65000000,None,586000000,None,561000000,quarterly
2019-05-30,USD,2711000000,None,None,-377000000,-531000000,1360000000,2403000000,-1171000000,515000000,851000000,-2066000000,-1847000000,None,159000000,159000000,None,None,None,None,None,0,None,-139000000,None,851000000,None,840000000,quarterly
2019-02-28,USD,3435000000,None,None,-280000000,-627000000,1313000000,2649000000,-1013000000,514000000,1625000000,-2492000000,952000000,None,732000000,732000000,None,None,None,None,None,1800000000,None,-655000000,None,1682000000,None,1619000000,quarterly
2018-11-29,USD,4810000000,None,None,-46000000,-95000000,1335000000,2700000000,-189000000,286000000,3296000000,-4427000000,-2435000000,None,1836000000,1836000000,None,None,None,None,None,0,None,-1821000000,None,-2052000000,None,3293000000,quarterly
2018-08-30,USD,5155000000,None,None,511000000,832000000,1285000000,2251000000,557000000,226000000,4326000000,-2129000000,-3333000000,None,2000000,2000000,None,None,None,None,None,40000000,None,19000000,None,4326000000,None,4325000000,quarterly
2018-05-31,USD,4261000000,None,None,-140000000,685000000,1233000000,2411000000,547000000,184000000,3823000000,-2244000000,-3023000000,None,2000000,2000000,None,None,None,None,None,319000000,None,149000000,None,3871000000,None,3823000000,quarterly
2018-03-01,USD,4348000000,None,None,439000000,796000000,1151000000,2261000000,509000000,25000000,3311000000,-2409000000,-138000000,None,44000000,44000000,None,None,None,None,None,500000000,None,15000000,None,3311000000,None,3309000000,quarterly
2017-11-30,USD,3636000000,None,None,-261000000,158000000,1090000000,1956000000,121000000,37000000,2678000000,-1434000000,-1282000000,None,23000000,23000000,None,None,None,None,None,150000000,None,1472000000,None,920000000,None,2678000000,quarterly
2017-08-31,USD,3203000000,None,None,271000000,451000000,1066000000,1265000000,313000000,58000000,2369000000,-1278000000,-858000000,None,1000000,0,None,None,None,None,None,175000000,None,-1000000,None,2369000000,None,2368000000,quarterly
2017-06-01,USD,2407000000,None,None,135000000,610000000,1021000000,1041000000,565000000,66000000,1647000000,-874000000,-1134000000,None,2000000,None,None,None,None,None,None,175000000,None,40000000,None,415000000,None,1647000000,quarterly
2017-03-02,USD,1405000000,None,None,77000000,278000000,1742000000,1164000000,372000000,-35000000,894000000,-4449000000,2553000000,None,20000000,None,None,None,None,None,None,2945000000,None,39000000,None,-506000000,None,894000000,quarterly
