fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2019-11-29,USD,1377000000,27476000,None,184454000,414873000,191000000,94095000,174000000,None,957147000,-169000000,-766000000,None,750000000,750000000,None,None,None,None,None,None,None,-749308000,1000000,441174000,-1000000,852000000,quarterly
2019-08-30,USD,922000000,46593000,None,-97122000,247170000,193000000,89624000,100000000,None,792763000,-165000000,-624000000,None,750000000,750000000,None,None,None,None,None,0,None,-591672000,158000000,126137000,-7000000,793000000,quarterly
2019-05-31,USD,1110000000,27006000,None,166654000,-26163000,187000000,145760000,-21000000,None,632593000,10000000,-772000000,None,750000000,750000000,None,None,None,None,None,0,None,-748088000,2000000,344135000,-4000000,633000000,quarterly
2019-03-01,USD,1013000000,51000000,None,-55000000,83000000,186000000,65000000,-65000000,None,702334000,-132000000,-784000000,None,500000000,500000000,None,None,None,None,None,0,None,-428000000,72000000,96000000,-1000000,674000000,quarterly
2018-11-30,USD,1107689000,19504000,None,-58329000,188387000,106228000,62563000,201002000,None,699217000,-3138583000,1925299000,None,300000000,300000000,None,None,None,None,None,0,None,-298753000,1257000,-104369000,1523000,678240000,quarterly
2018-08-31,USD,955304000,24251000,None,126136000,-75110000,86890000,63558000,-58321000,None,666291000,-1520334000,-671661000,None,750000000,750000000,None,None,None,None,None,0,None,-624939000,125061000,-1240842000,-4151000,666291000,quarterly
2018-06-01,USD,976406000,11093000,None,51798000,55376000,76360000,45316000,13717000,None,690799000,67679000,-717365000,None,700000000,700000000,None,None,None,None,None,None,None,-699702000,298000,321005000,-5715000,663167000,quarterly
2018-03-02,USD,989601000,26410000,None,458336000,-89445000,76522000,95142000,-154398000,None,702502000,-93762000,-541273000,None,300000000,300000000,None,None,None,None,None,None,None,-235616000,64384000,360909000,6343000,583076000,quarterly
2017-12-01,USD,833220000,9661000,None,-130805000,217418000,81234000,37684000,213634000,None,643012000,20366000,-319509000,None,300000000,300000000,None,None,None,None,None,None,None,-299331000,669000,531522000,-2555000,501549000,quarterly
2017-09-01,USD,704436000,25811000,None,174868000,88755000,82319000,54238000,105814000,None,541379000,-36814000,-218299000,None,300000000,300000000,None,None,None,None,None,None,None,-195148000,104852000,457600000,8277000,419569000,quarterly
2017-06-02,USD,644827000,9070000,None,107458000,26452000,81635000,55297000,51975000,None,492618000,-87547000,-314432000,None,300000000,300000000,None,None,None,None,None,None,None,-298957000,1043000,248054000,5206000,374390000,quarterly
2017-03-03,USD,730370000,24888000,None,-80096000,-173492000,80809000,30903000,-184250000,None,460632000,-338882000,-331495000,None,200000000,200000000,None,None,None,None,None,None,None,-148213000,51787000,57581000,-2412000,398446000,quarterly
