fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2011-03-31,2011-04-13,1.6,1.43,0.17,11.8881
2010-12-31,2011-01-19,1.64,1.28,0.36,28.125
2010-09-30,2010-10-13,1.01,0.96,0.05,5.2083
2010-06-30,2010-07-14,0.91,0.75,0.16,21.3333
2010-03-31,2010-04-14,0.45,0.41,0.04,9.7561
2009-12-31,2010-01-20,0.23,0.2,0.03,15
2009-09-30,2009-10-14,0.09,-0.01,0.1,1000
2009-06-30,2009-07-15,-0.43,-0.43,0,0
2009-03-31,2009-04-15,-0.45,-0.45,0,0
2008-12-31,2009-01-15,-0.34,0.02,-0.36,-1800
2008-09-30,2008-10-15,0.34,0.28,0.06,21.4286
2008-06-30,2008-07-16,0.9,0.49,0.41,83.6735
2008-03-31,2008-04-16,0.64,0.65,-0.01,-1.5385
2007-12-31,2008-01-16,0.87,0.61,0.26,42.623
2007-09-30,2007-10-17,0.62,0.56,0.06,10.7143
2007-06-30,2007-07-18,0.64,0.56,0.08,14.2857
2007-03-31,2007-04-18,0.67,0.6,0.07,11.6667
2006-12-31,2007-01-17,0.77,0.65,0.12,18.4615
2006-09-30,2006-10-18,0.61,0.54,0.07,12.963
2006-06-30,2006-07-19,0.56,0.44,0.12,27.2727
2006-03-31,2006-04-19,0.26,0.28,-0.02,-7.1429
2005-12-31,2006-01-18,0.19,0.15,0.04,26.6667
2005-09-30,2005-10-12,0.18,0.16,0.02,12.5
2005-06-30,2005-07-13,0.39,0.34,0.05,14.7059
2005-03-31,2005-04-13,0.41,0.38,0.03,7.8947
2004-12-31,2005-01-19,0.39,0.37,0.02,5.4054
2004-09-30,2004-10-13,0.15,0.3,-0.15,-50
2004-06-30,2004-07-14,0.23,0.21,0.02,9.5238
2004-03-31,2004-04-21,0.06,0.13,-0.07,-53.8462
2003-12-31,2004-01-15,0,0,0,None
2003-09-30,2003-10-15,-0.07,-0.1,0.03,30
2003-06-30,2003-07-16,-0.15,-0.11,-0.04,-36.3636
2003-03-31,2003-04-16,-0.25,-0.04,-0.21,-525
2002-12-31,2003-01-16,-0.35,-0.02,-0.33,-1650
2002-06-30,2002-07-18,-0.32,-0.11,-0.21,-190.9091
1999-12-31,2000-02-03,0.27,0.27,0,0
1999-06-30,1999-07-27,0.01,0.01,0,0
1998-12-31,1999-01-22,0,0.03,-0.03,-100
1998-06-30,1998-08-03,0.24,0.25,-0.01,-4
1997-12-31,1998-03-25,0.36,0.32,0.04,12.5
1997-06-30,1997-07-30,0.21,0.21,0,0
1996-12-31,1997-01-27,0.24,0.24,0,0
1996-06-30,1996-08-14,0.22,0.21,0.01,4.7619
