fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,report_type
2021-06-30,CNY,1690218000000,643360000000,321262000000,321262000000,27858000000,None,1046858000000,152606000000.0,None,70833000000,70833000000,292771000000,None,454543000000.0,162183000000,75134000000,None,615257000000,377358000000,None,None,None,17506000000,237899000000,None,133599000000.0,17013000000,None,181439000000,228552000000,30628000000,937470000000,None,554924000000,1000000,2753000000,quarterly
2021-03-31,CNY,1715212000000,647137000000,291809000000,291809000000,27858000000,None,1068075000000,147412000000.0,None,67398000000,67398000000,292523000000,None,437410000000.0,191543000000,159915000000,None,604958000000,368199000000,None,None,None,17013000000,236759000000,32286000000,135716000000.0,13437000000,None,150612000000,102992000000,30754000000,1110254000000,None,593311000000,1000000,2754750000,quarterly
2020-12-31,CNY,1635266000000,597726000000,312137000000,312137000000,None,None,1037540000000,147082000000.0,None,73940000000,73940000000,293393000000,None,425768000000.0,150024000000,135565000000,None,561355000000,358160000000,None,None,None,15047000000,203195000000,None,102652000000.0,15047000000,None,117699000000,253622000000,30346000000,937061000000,-773000000,561181000000,1000000,2752625000,quarterly
2020-09-30,CNY,1433626000000,522935000000,301509000000,301509000000,19685000000,None,910691000000,118037000000.0,None,56378000000,56378000000,276172000000,None,398583000000.0,109194000000,45583000000,None,460436000000,262942000000,None,None,None,7482000000,197494000000,22011000000,116885000000.0,4903000000,None,143799000000,166913000000,22007000000,857403000000,None,481920000000,1000000,2752625000,quarterly
2020-06-30,CNY,1369177000000,491312000000,309267000000,309267000000,None,None,877865000000,111461000000.0,None,57580000000,57580000000,276896000000,None,373776000000.0,77291000000,104754000000,None,448515000000,248093000000,None,None,None,4543000000,200422000000,None,120894000000.0,4543000000,None,125437000000,188673000000,23010000000,808703000000,None,453528000000,1000000,2740750000,quarterly
2020-03-31,CNY,1312985000000,462923000000,330503000000,330503000000,14859000000,None,850062000000,138047000000.0,None,60947000000,60947000000,276782000000,None,350961000000.0,32712000000,41224000000,None,442437000000,241872000000,None,None,None,7920000000,200565000000,21857000000,120276000000.0,5154000000,None,147287000000,156531000000,1322000000,755401000000,None,406287000000,1000000,2727750000,quarterly
2019-12-31,CNY,1319495000000,459446000000,350575000000,350575000000,None,None,860049000000,101520000000.0,None,64748000000,64748000000,277029000000,None,362037000000.0,6635000000,102236000000,None,460180000000,262458000000,None,None,None,4215000000,197722000000,None,118172000000.0,4215000000,None,122387000000,196363000000,25937000000,744116000000,None,403198000000,1000000,2674125000,quarterly
2019-09-30,CNY,1159577000000,335687000000,234177000000,234177000000,None,None,823890000000,127976000000.0,None,66100000000,66100000000,276633000000,None,330951000000.0,6833000000,94677000000,None,439346000000,243949000000,None,None,None,24155000000,195397000000,None,121522000000.0,24155000000,None,145677000000,173086000000,22695000000,602799000000,None,351412000000,1000000,2636625000,quarterly
2019-06-30,CNY,1018854000000,290632000000,210539000000,210539000000,None,None,728222000000,120179000000.0,None,66019000000,66019000000,266894000000,None,254305000000.0,10081000000,70012000000,None,380888000000,210700000000,None,None,None,23019000000,170188000000,None,116370000000.0,23019000000,None,139389000000,144597000000,23196000000,521033000000,None,279236000000,1000000,2634000000,quarterly
2019-03-31,CNY,965076000000,270273000000,189976000000,189976000000,8534000000,None,694803000000,92030000000.0,None,74695000000,74695000000,264935000000,None,241544000000.0,13189000000,28654000000,None,356493000000,207669000000,None,None,None,22466000000,148824000000,None,111834000000.0,22466000000,None,134300000000,133199000000,2315000000,492257000000,None,257886000000,1000000,2625000000,quarterly
2018-12-31,CNY,917943000000,261680000000,189204000000,189204000000,None,None,656263000000,1919399254.71,None,67994000000,67994000000,244261000000,None,4815321994.4,11387000000,61089000000,None,357021000000,208772000000,None,None,None,22812000000,148249000000,None,2393405102.76,326564603.30,None,136053000000,138615000000,None,460893000000,-56116885.95,232850000000,1000000,2614000000,quarterly
2018-09-30,CNY,824767000000,237883000000,164375000000,164375000000,None,None,586884000000,12669423051.73,None,50684000000,50684000000,203729000000,None,31925053502.02,17162000000,56346000000,None,329420000000,168096000000,None,None,None,9022000000,161324000000,None,18808542852.57,None,None,138216000000,123348000000,None,421560000000,None,207847000000,1000000,2628000000,quarterly
2018-06-30,CNY,796662000000,236994000000,167895000000,167895000000,None,None,559668000000,11796490701.86,None,51866000000,51866000000,207373000000,None,29669916016.8,17256000000,51843000000,None,324068000000,164196000000,None,None,None,13693000000,159872000000,None,18656268746.25,None,None,138093000000,116883000000,None,393089000000,None,189119000000,1000000,2627000000,quarterly
2018-03-31,CNY,717124000000,256855000000,199309000000,199309000000,4535000000,None,460269000000,10586577501.79,None,36842000000,36842000000,162149000000,None,28410795318.84,10901000000,16740000000,None,280686000000,135810000000,None,None,None,6028000000,144876000000,None,19031128094.9,19990924289.47,None,125553000000,91636000000,None,365822000000,-56682270.52,172353000000,1000000,2619000000,quarterly
2017-12-31,CNY,711432000000,268290000000,212196000000,212196000000,None,None,443142000000,9986167000.0,None,36376000000,36376000000,162683000000,None,164360000000.0,11936000000,44158000000,None,284461000000,136438000000,None,None,None,6447000000,148023000000,None,18886925000.0,129331000000,None,129331000000,92676000000,None,349961000000,-343206000,164879000000,1000000,2615000000,quarterly
2017-09-30,CNY,578824000000,204648000000,148746000000,148746000000,None,None,374176000000,7452993000.0,None,21321000000,21321000000,130196000000,None,160260000000.0,16264000000,39638000000,None,211723000000,119534000000,None,None,None,16361000000,92189000000,None,11328664000.0,8665000000,None,91734000000,74819000000,None,322172000000,-424301000,140872000000,1000000,2607000000,quarterly
