fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2009-03-31,2009-04-30,0.01,None,None,None
2008-12-31,2009-01-22,0.07,0.07,0,0
2008-09-30,2008-10-30,0.19,0.2,-0.01,-5
2008-06-30,2008-07-31,0.18,0.18,0,0
2008-03-31,2008-04-29,0.17,0.16,0.01,6.25
2007-12-31,2008-01-31,0.2,0.19,0.01,5.2632
2007-09-30,2007-10-25,0.17,0.18,-0.01,-5.5556
2007-06-30,2007-07-26,0.15,0.14,0.01,7.1429
2007-03-31,2007-04-26,0.11,0.11,0,0
2006-12-31,2007-01-25,0.16,0.15,0.01,6.6667
2006-09-30,2006-10-26,0.19,0.19,0,0
2006-06-30,2006-07-27,0.2,0.19,0.01,5.2632
2006-03-31,2006-04-27,0.19,0.17,0.02,11.7647
2005-12-31,2006-01-26,0.2,0.19,0.01,5.2632
2005-09-30,2005-10-27,0.14,0.14,0,0
2005-06-30,2005-07-26,0.11,0.11,0,0
2005-03-31,2005-04-26,0.1,0.1,0,0
2004-12-31,2005-01-27,0.14,0.12,0.02,16.6667
2004-09-30,2004-10-26,0.16,0.14,0.02,14.2857
2004-06-30,2004-07-29,0.14,0.12,0.02,16.6667
2004-03-31,2004-04-21,0.11,0.1,0.01,10
2003-12-31,2004-01-29,0.1,0.09,0.01,11.1111
2003-09-30,2003-10-28,0.09,0.08,0.01,12.5
2003-06-30,2003-07-24,0.06,0.05,0.01,20
2003-03-31,2003-04-29,0.02,0.01,0.01,100
2002-12-31,2003-01-28,0.01,0.02,-0.01,-50
2002-09-30,2002-10-22,0.01,0.04,-0.03,-75
2002-06-30,2002-07-25,0.05,0.06,-0.01,-16.6667
2002-03-31,2002-05-09,0.04,0.04,0,0
2001-12-31,2002-01-28,0.03,0.03,0,0
2001-09-30,2001-10-26,0.01,0.01,0,0
2001-06-30,2001-06-30,0.0019,None,None,None
2001-03-31,2001-03-31,0.0532,None,None,None
2000-12-31,2001-03-30,0.14,0.13,0.01,7.6923
2000-09-30,2000-10-19,0.13,0.12,0.01,8.3333
2000-06-30,2000-07-31,0.1,0.08,0.02,25
2000-03-31,2000-04-27,0.08,0.07,0.01,14.2857
1999-12-31,2000-01-27,0.06,0.06,0,0
1999-09-30,1999-10-25,0.05,0.05,0,0
1999-06-30,1999-09-10,0.05,0.04,0.01,25
1999-03-31,1999-04-21,0.04,0.02,0.02,100
1998-12-31,1999-01-11,0.03,0.03,0,0
1998-03-31,1998-04-27,0.04,0.04,0,0
1997-12-31,1998-03-11,0.04,0.03,0.01,33.3333
