fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,report_type
2021-09-30,TWD,3332311884000,1370639169000,853811966000,853811966000,182233752000,None,1961672715000,1861855662000,None,20238950000,20238950000,5404964000,None,27730551000.0,135977646000,11374491000,None,1253991574000,655621450000,None,None,None,118844065000,598370124000,21052983000,459733000000,118844065000,None,603102686000,333062026000,99886871000,2076020062000,None,1811273605000,259303805000,5186076000,quarterly
2021-06-30,TWD,3092688800000,1241104000000,747982100000,747982100000,170438700000,None,1851584800000,1755298405000,None,21126700000,21126700000,5408400000,None,29063472000.0,135302900000,7408700000,None,1110653900000,659558300000,None,None,None,139380900000,451095600000,21030441000,410465000000,139380910000,None,574047500000,373305500000,2608325000,1979870900000,None,1714407300000,259303800000,5186076000,quarterly
2021-03-31,TWD,2760600500000,1092185300000,660170600000,660170600000,137353400000,None,1668415200000,1690833602000,None,20331500000,20331500000,5436600000,None,29130450000.0,141982000000,6590300000,None,924836700000,631898400000,None,None,None,91159000000,292938300000,21074764000,276838000000,137123748000,None,367792300000,343947100000,2409411000,1834811300000,None,1573840100000,259303800000,5186076091,quarterly
2020-12-31,TWD,2760711405000,1092185308000,660170647000,660170647000,137353407000,None,1668526097000,1583317502000,None,20331577000,20331577000,5436602000,None,27728208000.0,141981968000,8984978000,None,910089406000,617151048000,None,None,None,91159000000,292938358000,20560649000,254105000000,88559026000,None,347231695000,388514557000,2395400000,1849657256000,None,1588686081000,259303805000,5186076000,quarterly
2020-09-30,TWD,2635572214000,1029673918000,604195113000,604195113000,109509486000,None,1605898296000,1525262200000,None,20785726000,20785726000,5553787000,None,26514639000.0,147872514000,5477935000,None,847305839000,588241723000,None,None,None,155377630000,259064116000,19180809000,228027883000,155377630000,None,402586322000,293317891000,2280460000,1787361029000,None,1513976388000,259303805000,5186076000,quarterly
2020-06-30,TWD,2448664522000,860031580000,467613443000,467613443000,85788094000,None,1588632942000,1514597844000,None,21778129000,21778129000,5617471000,None,22916825000.0,147838889000,6610338000,None,727451140000,614795728000,None,None,None,188840348000,112655412000,19164873000,82439681000,188840348000,None,290444902000,290115440000,2143738000,1720377981000,None,1441491990000,259303805000,5186076000,quarterly
2020-03-31,TWD,2343295696000,802470040000,430777229000,430777229000,78277834000,None,1540825656000,1459935933000,0,21504612000,21504612000,5727459000,None,31033217000.0,141472816000,5461359000,None,666267165000,589468059000,None,None,None,155103242000,76799106000,19490665000,46475148000,155103242000,None,221069055000,294615725000,1922467000,1676266000000,0,1385495748000,259303805000,5186076000,quarterly
2019-12-31,TWD,2264725000000,822613900000,455399300000,455399300000,82981200000,None,1442111100000,1369609807000,0,14959600000,14959600000,5693400000,None,30092000000.0,139064400000,5346700000,None,650337700000,598363800000,None,None,None,150322300000,51973900000,15041800000,25100000000,150322300000,None,190464100000,268459700000,2128300000,1613705600000,0,1325630400000,259303800000,5186076091,quarterly
2019-09-30,TWD,2134234450000,849427436000,452430300000,452430300000,96685730000,None,1284807014000,1215462124000,0,12259114000,12259114000,5834459000,None,30134572000.0,150170187000,4663001000,None,546737449000,494781125000,None,None,None,85573710000,51956324000,15031539000,25100000000,85573710000,None,125705249000,280445433000,2081256000,1586856066000,0,1281906438000,259303805000,5186076000,quarterly
2019-06-30,TWD,2239343671000,1010179338000,649697262000,649697262000,108231879000,None,1229164333000,1160913492000,0,11662433000,11662433000,5838397000,None,29315314000.0,129851519000,4726216000,None,684922144000,622256378000,None,None,None,78261120000,62665766000,15405489000,35300000000,78261120000,None,128966609000,441163650000,2201551000,1553814579000,0,1245575785000,259303805000,5186076000,quarterly
2019-03-31,TWD,2187436785000,991324815000,645670527000,645670527000,108682382000,None,1196111970000,40695.51,0,12166308000,12166308000,5807709000,None,30038613000.0,125098555000,5083707000,None,443919183000,378267634000,None,None,None,76592550000,65651549000,16907533000,35300000000,76592550000,None,128800083000,197603209000,2029105000,1742845624000,0,1437946154000,259303805000,5186076000,quarterly
2018-12-31,TWD,2090031200000,951679700000,577814600000,577814600000,103231000000,None,1138351500000,40099.07,0,11206600000,11206600000,5795500000,None,1092.5,135941400000,5429900000,None,428926100000,356837100000,None,None,None,123654700000,72089000000,0,2128.29,1311.16,None,180554700000,157067800000,0,1660428800000,0,1360258900000,259303800000,5186076091,quarterly
2018-09-30,TWD,1969888788000,859223705000,488732121000,488732121000,105336576000,None,1110665083000,34315720340.37,0,8225606000,8225606000,5763578000,None,975380985.11,130341925000,5208720000,None,394058787000,321630202000,None,None,None,73974625000,72428585000,0,1862215676.65,1142202585.50,None,130874625000,160331747000,0,1575171914000,0,1277737659000,259303805000,5186076000,quarterly
2018-06-30,TWD,2053412954000,959042679000,632229880000,632229880000,99032077000,None,1094370275000,33861024472.49,None,8025238000,8025238000,5766973000,None,944042495.38,130053184000,6345697000,None,562777669000,462997164000,None,None,None,30835300000,99780505000,None,2730442469.18,520592709,None,114235300000,362847286000,None,1490001542000,0,1189470511000,259303805000,5186076000,quarterly
2018-03-31,TWD,2049155806000,929116660000,577782963000,577782963000,85215899000,None,1120039146000,36266880000,None,8102449000,8102449000,5571846000,None,34376662000.0,118233366000,39973678000,None,442550777000,342235242000,None,None,None,56731350000,100315535000,None,2865979000,49431551000,None,140131350000,209857933000,None,1605898389000,None,1324689900000,259303805000,5186076000,quarterly
2017-12-31,TWD,1991732000000,857203100000,553391700000,553391700000,73880700000,None,1134528900000,35848256000,None,8526500000,8526500000,5648700000,None,41439400000.0,103185500000,4256800000,None,497285500000,386890200000,None,None,None,63766800000,110395300000,None,3097166000,58401100000,None,155566800000,238986800000,None,1493746800000,None,1205051300000,259303800000,5186076000,quarterly
