Date,Title,Link,Source,source
2023-02-11 10:08:00,Meta delays setting team budgets as it plans fresh round of job cuts,https://finance.yahoo.com/m/94b5b488-2886-3dc5-9d84-63725223dc5e/meta-delays-setting-team.html,finance.yahoo,
2023-02-11 05:35:00,Mark Zuckerberg Doesn't Want to Talk About the Metaverse Anymore,https://finance.yahoo.com/m/96048352-fa55-3654-b029-3cf159b8934e/mark-zuckerberg-doesn%27t-want.html,finance.yahoo,
2023-02-11 05:06:00,Nasdaq Bear Market: 5 Unmatched Growth Stocks You'll Regret Not Buying On the Dip,https://finance.yahoo.com/m/0500a146-4f2b-31e8-b2d1-9a4703e8c2ac/nasdaq-bear-market%3A-5.html,finance.yahoo,
2023-02-10 17:05:00,UPDATE 1-FTC withdraws from adjudication in fight with Meta over Within deal,https://finance.yahoo.com/news/1-ftc-withdraws-adjudication-fight-220553051.html,finance.yahoo,
2023-02-10 17:05:00,This Facebook executives $4 million stock sale could be another sign of Metas rebound,https://finance.yahoo.com/m/2af819e7-bb9c-3c3f-838a-6ed4ede9bbab/this-facebook-executive%E2%80%99s-%244.html,finance.yahoo,
2023-02-10 16:34:00,"Facebook, Gibson Dunn sanction order is light on dollars, heavy on message",https://finance.yahoo.com/news/facebook-gibson-dunn-sanction-order-213429093.html,finance.yahoo,
2023-02-10 12:08:00,The 'Law That Built The Internet' Could Get Crushed; A 'Nightmare' May Lie Ahead For Big Tech,https://finance.yahoo.com/m/21d45c21-beac-3c31-a527-3da60a151552/the-%27law-that-built-the.html,finance.yahoo,
2023-02-10 11:00:00,Big Techs record profits surpass that of Big Oil,https://finance.yahoo.com/video/big-tech-record-profits-surpass-160005861.html,finance.yahoo,
2023-02-10 10:30:00,Zuckerberg Is Making Generative AI Meta's Other Big Theme of 2023,https://finance.yahoo.com/m/6ef44332-05d3-325a-800a-0c9a14b6705f/zuckerberg-is-making.html,finance.yahoo,
2023-02-10 08:00:00,"Privacy Fears, Abuse Allegations Jeopardize Foreign Surveillance Tool",https://finance.yahoo.com/m/cc391210-cd22-3f27-8ef4-38c8cd8ff2a2/privacy-fears%2C-abuse.html,finance.yahoo,
2023-02-10 07:58:00,Meta Platforms: A Top Artificial Intelligence Stock That No One Talks About,https://finance.yahoo.com/m/f1458aa5-917d-3dfb-b0e8-375deb568efc/meta-platforms%3A-a-top.html,finance.yahoo,
2023-02-10 07:53:00,Firing Workers and Raising Dividends Is the New Wall Street Playbook,https://finance.yahoo.com/m/be978ba1-3ccf-37d5-a0fb-bd34e159ac33/firing-workers-and-raising.html,finance.yahoo,
2023-02-10 06:17:00,3 Top Stocks to Profit From the Coming AI Explosion,https://finance.yahoo.com/m/b9ef08b1-b5a9-373b-a9b1-650ea6f2011d/3-top-stocks-to-profit-from.html,finance.yahoo,
2023-02-10 05:30:00,"Finance Chiefs, Facing Another Year of Persistent Inflation, Prioritize Cost Savings",https://finance.yahoo.com/m/063430f5-725c-3ac6-8c4d-55c38b05b4b4/finance-chiefs%2C-facing.html,finance.yahoo,
2023-02-10 01:00:00,Wall Street Has a New PlaybookMore Dividends and Fewer Employees,https://finance.yahoo.com/m/be978ba1-3ccf-37d5-a0fb-bd34e159ac33/wall-street-has-a-new.html,finance.yahoo,
2023-02-09 19:22:00,"Meta, law firm Gibson Dunn sanctioned in Facebook privacy case",https://finance.yahoo.com/news/meta-law-firm-gibson-dunn-002249018.html,finance.yahoo,
2023-02-09 13:48:00,"Trump has regained access to Facebook, Instagram accounts: WSJ",https://finance.yahoo.com/m/231537f3-8991-3cf0-94e2-bfe8ea96999a/trump-has-regained-access-to.html,finance.yahoo,
2023-02-09 13:31:00,"Trump Regains Access to Facebook, Instagram",https://finance.yahoo.com/m/3652150c-0e34-3a23-aeb3-efd4418acbe1/trump-regains-access-to.html,finance.yahoo,
2023-02-09 13:31:00,"Meta Allows Trump to Regain Access to Facebook, Instagram",https://finance.yahoo.com/m/3652150c-0e34-3a23-aeb3-efd4418acbe1/meta-allows-trump-to-regain.html,finance.yahoo,
2023-02-09 13:11:00,"UPDATE 1-Meta restores Donald Trump's access to Facebook, Instagram",https://finance.yahoo.com/news/1-meta-restores-donald-trumps-181138563.html,finance.yahoo,
2023-02-09 12:55:00,"Meta restores Donald Trump's access to Facebook, Instagram",https://finance.yahoo.com/news/meta-restores-donald-trumps-facebook-175532704.html,finance.yahoo,
2023-02-09 12:47:00,Facebook investors urge revival of Cambridge Analytica fraud case,https://finance.yahoo.com/news/facebook-investors-urge-revival-cambridge-174714027.html,finance.yahoo,
2023-02-09 09:30:00,"2 Reasons to Buy Amazon Stock, and 1 Reason to Sell",https://finance.yahoo.com/m/ecb12833-c03b-3f87-8df8-fec9670c30b7/2-reasons-to-buy-amazon.html,finance.yahoo,
2023-02-09 08:30:00,"Meta Platforms Is Up 109% In 3 Months, Here's Why I'm Selling",https://finance.yahoo.com/m/e372a48d-163f-3702-8a5b-4525da5e57b4/meta-platforms-is-up-109%25-in.html,finance.yahoo,
2023-02-09 08:14:00,Should You Sell Meta Platforms (META) Now?,https://finance.yahoo.com/news/sell-meta-platforms-meta-now-131402364.html,finance.yahoo,
2023-02-09 08:08:00,How Russias propaganda machine is reshaping the African narrative,https://finance.yahoo.com/m/9ec269ba-0d10-3d11-a036-307688fd719c/how-russia%E2%80%99s-propaganda.html,finance.yahoo,
2023-02-09 05:50:00,Is Pinterest Stock a Buy?,https://finance.yahoo.com/m/d6cef434-faf7-3946-86e8-48343a2bc00b/is-pinterest-stock-a-buy%3F.html,finance.yahoo,
2023-02-09 05:35:00,Did Snap Actually Outperform Meta Platforms in This Important Metric?,https://finance.yahoo.com/m/f0a0b3c4-9a00-3bfa-b261-ab21115c1d80/did-snap-actually-outperform.html,finance.yahoo,
2023-02-09 05:05:00,2 Top Bargain Stocks Ready for a Bull Run,https://finance.yahoo.com/m/598f65d5-314e-32af-9cfb-45681cec6434/2-top-bargain-stocks-ready.html,finance.yahoo,
2023-02-08 21:17:00,"UPDATE 1-Meta's Facebook, Instagram back up after brief outage",https://finance.yahoo.com/news/1-metas-facebook-instagram-back-021744839.html,finance.yahoo,
2023-02-08 20:02:00,Investors Liked the News From Meta Platforms,https://finance.yahoo.com/m/1bd90039-5f55-3c70-a9dd-ed1d1af48878/investors-liked-the-news-from.html,finance.yahoo,
2023-02-08 18:31:00,"Analyst Report: Meta Platforms, Inc.",https://finance.yahoo.com/m/352c6a94-49bb-3e33-b2cf-95bffbb005b8/analyst-report%3A-meta.html,finance.yahoo,
2023-02-08 17:11:00,"Meta's Facebook, Instagram back up after brief outage",https://finance.yahoo.com/news/metas-facebook-instagram-down-thousands-221144556.html,finance.yahoo,
2023-02-08 16:51:00,"Why Apple, Amazon, and Meta Platforms All Fell on Microsoft's AI News",https://finance.yahoo.com/m/60c92fe8-b6e8-3bc0-b378-b5bc5724d59d/why-apple%2C-amazon%2C-and-meta.html,finance.yahoo,
2023-02-08 15:12:00,"Earnings Roundup: Apple, Amazon, Starbucks, and More",https://finance.yahoo.com/m/87d7de6e-cf27-3fbb-be4d-b49af4c65d0f/earnings-roundup%3A-apple%2C.html,finance.yahoo,
2023-02-08 14:27:00,"As Big Techs Growth and Innovation Slow, Its Market Dominance Endures",https://finance.yahoo.com/m/71867767-232e-3d5e-bb3a-81a790109f70/as-big-tech%E2%80%99s-growth-and.html,finance.yahoo,
2023-02-08 12:11:00,No one is immune: Activist investors target tech companies after stocks dive,https://finance.yahoo.com/m/a182edc8-4ebe-31ed-af9b-410699c62eda/%E2%80%98no-one-is-immune%E2%80%99%3A-activist.html,finance.yahoo,
