fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,report_type
2021-09-30,USD,-49000000,62000000,None,None,None,3081000000,1859000000,None,-3155000000,2386000000,-3929000000,-1625000000,838000000,0,0,None,76000000,76000000,None,0,None,0,0,None,5706000000,None,2420000000,quarterly
2021-06-30,USD,7162000000,29000000,None,None,None,3014000000,1573000000,None,-3155000000,2779000000,-4026000000,-780000000,822000000,0,0,None,18000000,18000000,None,0,None,199000000,199000000,None,7014000000,None,2836000000,quarterly
2021-03-31,USD,1266000000,301000000,None,None,None,3015000000,878000000,None,-3155000000,3014000000,-2984000000,3617000000,1543000000,0,0,None,76000000,76000000,None,0,None,1537000000,1537000000,None,1899000000,None,3022000000,quarterly
2020-12-31,USD,6693000000,4980000000,None,None,None,3062000000,1972000000,None,-104000000,2797000000,-5007000000,-8607000000,-303000000,0,0,None,16000000,16000000,None,0,None,0,0,None,-6921000000,None,2846000000,quarterly
2020-09-30,USD,11231000000,185000000,None,None,None,3158000000,992000000,None,-104000000,4018000000,-4483000000,-9557000000,-266000000,0,0,None,61000000,61000000,None,0,None,492000000,0,None,7467000000,None,4045000000,quarterly
2020-06-30,USD,-2815000000,163000000,None,None,None,3258000000,1112000000,None,-104000000,-780000000,-5766000000,36000000,833000000,0,0,None,2000000,2000000,None,0,None,0,0,None,3394000000,None,-758000000,quarterly
2020-03-31,USD,1561000000,388000000,None,None,None,3198000000,1224000000,None,-104000000,286000000,-6570000000,23680000000,13000000,0,0,None,590000000,590000000,None,0,None,0,0,None,18671000000,None,294000000,quarterly
2019-12-31,USD,3473000000,5020000000,None,None,None,3247000000,2740000000,None,-761000000,-192000000,-1208000000,-2332000000,-1068000000,0,0,None,558000000,558000000,None,0,None,-6000000,-6000000,None,-192000000,None,-194000000,quarterly
2019-09-30,USD,6553000000,246000000,None,None,None,3308000000,1376000000,None,-761000000,2311000000,-1551000000,-2133000000,-180000000,0,0,None,608000000,608000000,None,0,None,49000000,49000000,None,5908000000,None,2351000000,quarterly
2019-06-30,USD,5076000000,262000000,None,None,None,3396000000,1462000000,None,-761000000,2403000000,-4429000000,-1289000000,-23000000,0,0,None,558000000,558000000,None,0,None,0,0,None,6023000000,None,2418000000,quarterly
2019-03-31,USD,-81000000,694000000,None,None,None,4109000000,2014000000,None,-761000000,2145000000,-3711000000,1077000000,959000000,0,0,None,626000000,626000000,None,0,None,0,0,None,-2715000000,None,2157000000,quarterly
2018-12-31,USD,6030000000,3949000000,None,None,None,3641000000,2199000000,None,399000000,2069000000,-6188000000,2842000000,-509000000,90000000,90000000,None,552000000,552000000,None,0,None,1109000000,1019000000,None,2069000000,None,2044000000,quarterly
2018-09-30,USD,3673000000,72000000,None,None,None,3305000000,2211000000,None,399000000,2530000000,-4535000000,3957000000,1051000000,0,0,None,586000000,586000000,None,0,None,492000000,492000000,None,7463000000,None,2534000000,quarterly
2018-06-30,USD,5105000000,458000000,None,None,None,3099000000,2079000000,None,399000000,2366000000,-5478000000,886000000,524000000,0,0,None,538000000,538000000,None,0,None,0,1261000000,None,5007000000,None,2390000000,quarterly
2018-03-31,USD,448000000,437000000,None,None,None,3097000000,2272000000,None,399000000,1040000000,-4562000000,3769000000,120000000,100000000,100000000,None,566000000,566000000,None,0,None,0,-100000000,None,-345000000,None,1046000000,quarterly
