Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
ZWS,Zurn Elkay Water Solutions Corporation,21.86,1.03,4.94,1567000.0,1322000.0,3.887,64.29
MSCI,MSCI Inc.,531.56,25.0,4.94,752776.0,404219.0,42.503,51.26
PROK,ProKidney Corp.,10.43,0.49,4.93,63934.0,106590.0,2.428,
WRK,WestRock Company,39.24,1.84,4.92,3247000.0,1824000.0,9.987,10.87
CGNX,Cognex Corporation,54.74,2.56,4.91,1174000.0,837485.0,9.466,45.24
AKO-B,Embotelladora Andina S.A.,15.26,0.71,4.88,31599.0,37791.0,2.407,12.51
SDRL,Seadrill Limited,42.5,1.97,4.86,228303.0,210819.0,2.125,1.26
GOOS,Canada Goose Holdings Inc.,24.19,1.12,4.85,2999000.0,1773000.0,2.564,43.2
SPB,"Spectrum Brands Holdings, Inc.",67.88,3.13,4.83,449740.0,631560.0,2.783,27.05
F,Ford Motor Company,13.51,0.62,4.81,82549000.0,52009000.0,54.317,6.2
SKY,Skyline Champion Corporation,58.95,2.69,4.78,295536.0,388042.0,3.356,8.47
ENOV,Enovis Corporation,62.95,2.87,4.78,536297.0,353513.0,3.409,17.01
WBS,Webster Financial Corporation,52.65,2.4,4.78,1253000.0,964459.0,9.162,14.15
TECK,Teck Resources Limited,43.3,1.96,4.74,6138000.0,3430000.0,22.18,6.87
JOBY,"Joby Aviation, Inc.",4.42,0.2,4.74,4077000.0,3234000.0,2.748,
SLG,SL Green Realty Corp.,41.15,1.86,4.73,2430000.0,1256000.0,2.676,9.46
RBLX,Roblox Corporation,37.21,1.68,4.73,8074999.999999999,14341000.0,22.356,
JTKWY,Just Eat Takeaway.com N.V.,5.1,0.23,4.72,72612.0,213800.0,5.603,
JBT,John Bean Technologies Corporation,111.73,5.02,4.7,190624.0,191439.0,3.56,28.8
FIBK,"First Interstate BancSystem, Inc.",35.88,1.6,4.67,1584000.0,549070.0,3.747,18.31
UPS,"United Parcel Service, Inc.",185.23,8.26,4.67,6794000.0,2956000.0,164.844,14.94
GXO,"GXO Logistics, Inc.",52.33,2.33,4.66,755048.0,1057000.0,6.208,30.25
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,11.01,0.49,4.66,2220000.0,2778000.0,7.634,12.51
MPWR,"Monolithic Power Systems, Inc.",426.56,18.94,4.65,455814.0,581924.0,20.024,52.66
KBH,KB Home,38.45,1.7,4.63,1478000.0,1305000.0,3.229,4.23
DEI,"Douglas Emmett, Inc.",16.75,0.74,4.62,1952000.0,1842000.0,3.46,32.21
ARRY,"Array Technologies, Inc.",22.23,0.98,4.61,2747000.0,4139999.9999999995,3.345,
PPBI,"Pacific Premier Bancorp, Inc.",32.34,1.42,4.59,461039.0,404144.0,3.073,10.4
EGFEY,Eurobank Ergasias Services and Holdings S.A.,0.6275,0.0274,4.57,31344.0,61650.0,5.068,3.49
DQ,Daqo New Energy Corp.,45.51,1.98,4.55,1006999.9999999999,1261000.0,3.412,2.3
ENTG,"Entegris, Inc.",80.71,3.5,4.53,1211000.0,1941000.0,12.029,41.39
REZI,"Resideo Technologies, Inc.",19.23,0.83,4.51,652766.0,789044.0,2.805,9.29
LSPD,Lightspeed Commerce Inc.,18.1,0.78,4.5,989260.0,1210000.0,2.743,
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",36.91,1.59,4.5,810594.0,632613.0,3.284,26.18
LYFT,"Lyft, Inc.",16.25,0.7,4.5,10267000.0,15729000.0,5.865,
LRCX,Lam Research Corporation,500.1,21.47,4.49,1811000.0,1491000.0,67.715,13.44
EWBC,"East West Bancorp, Inc.",78.52,3.37,4.48,1195000.0,918675.0,11.067,9.91
CARR,Carrier Global Corporation,45.53,1.95,4.47,3613000.0,3568000.0,38.075,10.97
