Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap(Billions),PE Ratio (TTM)
MLCO,Melco Resorts & Entertainment Limited,13.1,-0.35,-2.6,4339000.0,5679000.0,5.831,
TECH,Bio-Techne Corporation,80.15,-2.14,-2.6,711463.0,1115000.0,12.581,44.78
DQ,Daqo New Energy Corp.,46.67,-1.24,-2.59,1133000.0,1304000.0,3.499,2.03
SEE,Sealed Air Corporation,52.4,-1.39,-2.58,1049000.0,1107000.0,7.58,13.79
TRMLF,Tourmaline Oil Corp.,48.25,-1.28,-2.58,66280.0,37581.0,16.309,3.96
AVTR,"Avantor, Inc.",23.04,-0.61,-2.58,6532000.0,6065000.0,15.534,24.25
PB,"Prosperity Bancshares, Inc.",72.82,-1.91,-2.56,655239.0,425108.0,6.649,13.03
ALC,Alcon Inc.,73.79,-1.93,-2.55,1277000.0,935075.0,36.304,64.17
HXGBY,Hexagon AB (publ),11.41,-0.3,-2.55,71749.0,96662.0,30.704,33.56
VC,Visteon Corporation,144.3,-3.75,-2.53,296141.0,294242.0,4.061,32.5
GLPG,Galapagos NV,45.05,-1.17,-2.53,106831.0,179203.0,2.966,450.5
AU,AngloGold Ashanti Limited,21.99,-0.57,-2.53,2484000.0,2910000.0,9.2,16.53
PPERY,PT Bank Mandiri (Persero) Tbk,12.93,-0.34,-2.53,26714.0,98752.0,30.187,11.54
RBLX,Roblox Corporation,35.59,-0.92,-2.52,5671000.0,14682000.0,21.383,
BRKR,Bruker Corporation,71.19,-1.84,-2.52,740405.0,619016.0,10.471,39.12
JAMF,Jamf Holding Corp.,18.98,-0.49,-2.52,508077.0,384813.0,2.304,
LNG,"Cheniere Energy, Inc.",151.02,-3.89,-2.51,1429000.0,2121000.0,37.552,
